metric,value
Total Commits,80
Unique Authors,1
Lines of Code,880
Commit Dates,"2024-11-14, 2024-11-14, 2024-11-14, 2024-11-14, 2024-11-14, 2024-11-14, 2024-11-14, 2024-11-13, 2024-11-13, 2024-11-13, 2024-11-13, 2024-11-13, 2024-11-14, 2024-11-06, 2024-11-07, 2024-11-06, 2024-11-06, 2024-11-05, 2024-11-04, 2024-11-03, 2024-11-03, 2024-10-31, 2024-10-31, 2024-10-31, 2024-10-31, 2024-10-31, 2024-10-31, 2024-10-31, 2024-10-31, 2024-10-31, 2024-10-31, 2024-10-31, 2024-10-31, 2024-10-30, 2024-10-30, 2024-10-30, 2024-10-30, 2024-10-31, 2024-10-25, 2024-10-25, 2024-10-25, 2024-10-25, 2024-10-25, 2024-10-25, 2024-10-25, 2024-10-25, 2024-10-25, 2024-10-25, 2024-10-25, 2024-10-25, 2024-10-25, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-24, 2024-10-23, 2024-10-23, 2024-10-23, 2024-10-23"
JavaScript,301021
Markdown,18586
TypeScript,16622
JSON,11068
Svelte,1172
CSS,332
PowerShell,198
DOS Batch,135
HTML,127
Bourne Shell,126
XML,84
AppleScript,61
YAML,54
Bourne Again Shell,48
Text,37
CSV,20
INI,6
SUM,349697